Dept_Name,Expense_Class,Object_Expenditure,Approp_Type,2024_Actual_New_General,2024_Actual_Automatic,2024_Actual_Total,2025_Program_New_General,2025_Program_Automatic,2025_Program_Total,2026_GAA_New_General,2026_GAA_Automatic,2026_GAA_Total,Page_No
Department of Energy (DOE),Other Compensation Common to All,Productivity Enhancement Incentive,None,4640,0,4640,4550,0,4550,4825,0,4825,22
Department of Energy (DOE),Other Compensation Common to All,Step Increment,None,0,0,0,1297,0,1297,1555,0,1555,22
Department of Energy (DOE),Other Compensation Common to All,Performance Based Bonus,None,22039,0,22039,0,0,0,0,0,0,22
Department of Energy (DOE),Other Compensation Common to All,Collective Negotiation Agreement,None,28362,0,28362,0,0,0,0,0,0,22
Department of Energy (DOE),Other Compensation for Specific Groups,Magna Carta for Public Health Workers,None,145,0,145,294,0,294,294,0,294,22
Department of Energy (DOE),Other Compensation for Specific Groups,Magna Carta for Science & Technology Personnel,None,22433,0,22433,22284,0,22284,22284,0,22284,22
Department of Energy (DOE),Other Compensation for Specific Groups,Other Personnel Benefits,None,240,0,240,0,0,0,0,0,0,22
Department of Energy (DOE),Other Benefits,Retirement and Life Insurance Premiums,None,0,62821,62821,0,62132,62132,0,74622,74622,23
Department of Energy (DOE),Other Benefits,PAG-IBIG Contributions,None,2148,0,2148,2185,0,2185,2315,0,2315,23
Department of Energy (DOE),Other Benefits,PhilHealth Contributions,None,13218,0,13218,12475,0,12475,14827,0,14827,23
Department of Energy (DOE),Other Benefits,Employees Compensation Insurance Premiums,None,1120,0,1120,1092,0,1092,1157,0,1157,23
Department of Energy (DOE),Other Benefits,Loyalty Award Civilian,None,525,0,525,570,0,570,390,0,390,23
Department of Energy (DOE),Other Benefits,Terminal Leave,None,13623,0,13623,4105,0,4105,14066,0,14066,23
Department of Energy (DOE),Maintenance and Other Operating Services,Travelling Expenses,None,106052,47817,153869,162136,47891,210027,138504,56781,195285,23
Department of Energy (DOE),Maintenance and Other Operating Services,Training and Scholarship Expenses,None,4271,6764,11035,20977,8937,29914,20223,10918,31141,23
Department of Energy (DOE),Maintenance and Other Operating Services,Supplies and Materials Expenses,None,42203,16637,58840,94907,19950,114857,88590,23153,111743,23
Department of Energy (DOE),Maintenance and Other Operating Services,Utility Expenses,None,34836,0,34836,41300,0,41300,41296,0,41296,23
Department of Energy (DOE),Maintenance and Other Operating Services,Communication Expenses,None,14011,32,14043,22575,174,22749,25720,174,25894,23
Department of Energy (DOE),Maintenance and Other Operating Services,Awards/Rewards and Prizes,None,4927,2999,7926,3173,4500,7673,3173,4635,7808,23
Department of Energy (DOE),Maintenance and Other Operating Services,Survey Research Exploration and Development Expenses,None,896,0,896,900,0,900,1400,0,1400,23
Department of Energy (DOE),Maintenance and Other Operating Services,Professional Services,None,17055,60646,77701,40900,119790,160690,47607,154500,202107,23
Department of Energy (DOE),Maintenance and Other Operating Services,General Services,None,135580,275993,411573,271712,271266,542978,920244,425690,1345934,23
Department of Energy (DOE),Maintenance and Other Operating Services,Repairs and Maintenance,None,16626,6529,23155,31527,3165,34692,38617,950,39567,23
Department of Energy (DOE),Maintenance and Other Operating Services,Taxes Insurance Premiums and Other Fees,None,12468,0,12468,12092,300,12392,12651,0,12651,23
Department of Energy (DOE),Maintenance and Other Operating Services,Extraordinary and Miscellaneous Expenses,None,3550,0,3550,3546,0,3546,3546,0,3546,23
Department of Energy (DOE),Maintenance and Other Operating Services,Advertising Expenses,None,5260,10000,15260,6107,9750,15857,14190,12021,26211,23
Department of Energy (DOE),Maintenance and Other Operating Services,Printing and Publication Expenses,None,3244,1868,5112,5985,2230,8215,5135,4846,9981,23
Department of Energy (DOE),Maintenance and Other Operating Services,Representation Expenses,None,94227,60492,154719,60343,41402,101745,71292,47309,118601,23
Department of Energy (DOE),Maintenance and Other Operating Services,Transportation and Delivery Expenses,None,472,0,472,495,57,552,630,80,710,23
Department of Energy (DOE),Maintenance and Other Operating Services,Rent/Lease Expenses,None,67328,1706,69034,76945,2010,78955,85960,1879,87839,23
Department of Energy (DOE),Maintenance and Other Operating Services,Membership Dues and Contributions to Organizations,None,25,0,25,128,0,128,138,0,138,23
Department of Energy (DOE),Maintenance and Other Operating Services,Subscription Expenses,None,113578,4600,118178,221906,5957,227863,275690,6923,282613,23
Department of Energy (DOE),Maintenance and Other Operating Services,Donations,None,16489,0,16489,18000,0,18000,18000,10000,28000,23
Department of Energy (DOE),Capital Outlays,Infrastructure Outlay,None,0,300000,300000,0,300000,300000,2000,300000,302000,24
Department of Energy (DOE),Capital Outlays,Buildings and Other Structures,None,0,12334,12334,0,0,0,0,281428,281428,24
Department of Energy (DOE),Capital Outlays,Machinery and Equipment Outlay,None,213793,18941,232734,231924,36005,267929,298885,28643,327528,24
Department of Energy (DOE),Capital Outlays,Transportation Equipment Outlay,None,11012,20170,31182,32300,22630,54930,14400,26024,40424,24
Department of Energy (DOE),Capital Outlays,Furniture Fixtures and Books Outlay,None,13479,173,13652,68040,0,68040,0,60,60,24
Department of Environment and Natural Resources (DENR),Salaries and other Lump-sums,Basic Salary,None,7284520,0,7284520,7010095,0,7010095,8078008,0,8078008,24
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Personnel Economic Relief Allowance,None,425002,0,425002,434112,0,434112,436200,0,436200,24
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Representation Allowance,None,67548,0,67548,60168,0,60168,59190,0,59190,24
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Transportation Allowance,None,47291,0,47291,53202,0,53202,52896,0,52896,24
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Clothing and Uniform Allowance,None,124542,0,124542,126616,0,126616,127225,0,127225,24
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Honoraria,None,5132,0,5132,225,0,225,195,0,195,24
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Overtime Pay,None,15767,0,15767,0,0,0,0,0,0,24
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Year End Bonus,None,607117,0,607117,584183,0,584183,673165,0,673165,24
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Mid-Year Bonus Civilian,None,595494,0,595494,584183,0,584183,673165,0,673165,24
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Cash Gift,None,88193,0,88193,90440,0,90440,90875,0,90875,25
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Productivity Enhancement Incentive,None,87465,0,87465,90440,0,90440,90875,0,90875,25
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Step Increment,None,0,0,0,17501,0,17501,20176,0,20176,25
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Performance Based Bonus,None,295879,0,295879,0,0,0,0,0,0,25
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Collective Negotiation Agreement,None,524248,0,524248,0,0,0,0,0,0,25
Department of Environment and Natural Resources (DENR),Other Compensation for Specific Groups,Magna Carta for Science & Technology Personnel,None,137740,0,137740,144525,0,144525,144525,0,144525,25
Department of Environment and Natural Resources (DENR),Other Compensation for Specific Groups,Quarters Allowance,None,48,0,48,0,0,0,0,0,0,25
Department of Environment and Natural Resources (DENR),Other Compensation for Specific Groups,Allowance of Attorney's de Officio,None,26568,0,26568,41130,0,41130,41130,0,41130,25
Department of Environment and Natural Resources (DENR),Other Compensation for Specific Groups,Other Personnel Benefits,None,371101,0,371101,0,0,0,0,0,0,25
Department of Environment and Natural Resources (DENR),Other Compensation for Specific Groups,Anniversary Bonus Civilian,None,312,0,312,0,0,0,0,0,0,25
Department of Environment and Natural Resources (DENR),Other Benefits,Retirement and Life Insurance Premiums,None,0,881533,881533,0,852374,852374,0,978524,978524,25
Department of Environment and Natural Resources (DENR),Other Benefits,PAG-IBIG Contributions,None,40138,0,40138,43368,0,43368,43575,0,43575,25
Department of Environment and Natural Resources (DENR),Other Benefits,PhilHealth Contributions,None,183250,0,183250,173539,0,173539,198373,0,198373,25
Department of Environment and Natural Resources (DENR),Other Benefits,Employees Compensation Insurance Premiums,None,21492,0,21492,21683,0,21683,21779,0,21779,25
Department of Environment and Natural Resources (DENR),Other Benefits,Terminal Leave,None,441684,0,441684,276125,0,276125,364150,0,364150,25
Department of Environment and Natural Resources (DENR),Other Benefits,Loyalty Award Civilian,None,8836,0,8836,40895,0,40895,24035,0,24035,25
Department of Environment and Natural Resources (DENR),Permanent Positions,Base Pay,None,90103,0,90103,98075,0,98075,87384,0,87384,25
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Personnel Economic Relief Allowance,None,4985,0,4985,5136,0,5136,4632,0,4632,25
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Clothing/ Uniform Allowance,None,514,0,514,1498,0,1498,1351,0,1351,25
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Subsistence Allowance,None,11429,0,11429,11717,0,11717,24802,0,24802,26
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Laundry Allowance,None,96,0,96,77,0,77,89,0,89,26
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Quarters Allowance,None,1095,0,1095,1244,0,1244,1115,0,1115,26
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Longevity Pay,None,23314,0,23314,27196,0,27196,22270,0,22270,26
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Mid-Year Bonus Military/Uniformed Personnel,None,7747,0,7747,8173,0,8173,7282,0,7282,26
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Year-end Bonus,None,7712,0,7712,8173,0,8173,7282,0,7282,26
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Cash Gift,None,1065,0,1065,1070,0,1070,965,0,965,26
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Productivity Enhancement Incentive,None,990,0,990,1070,0,1070,965,0,965,26
Department of Environment and Natural Resources (DENR),Other Compensation Common to All,Performance Based Bonus,None,4970,0,4970,0,0,0,0,0,0,26
Department of Environment and Natural Resources (DENR),Other Compensation for Specific Groups,Sea Duty Pay,None,8630,0,8630,14212,0,14212,13760,0,13760,26
Department of Environment and Natural Resources (DENR),Other Compensation for Specific Groups,Hazard Duty Pay,None,1345,0,1345,1387,0,1387,1251,0,1251,26
Department of Environment and Natural Resources (DENR),Other Compensation for Specific Groups,/Uniformed Personnel (MUP),None,0,0,0,30346,0,30346,45354,0,45354,26
Department of Environment and Natural Resources (DENR),Other Benefits,Special Group Term Insurance,None,0,0,0,15,0,15,14,0,14,26
Department of Environment and Natural Resources (DENR),Other Benefits,PAG-IBIG Contributions,None,476,0,476,514,0,514,463,0,463,26
Department of Environment and Natural Resources (DENR),Other Benefits,Pension Military/Uniformed Personnel,None,34578,0,34578,0,0,0,0,0,0,26
Department of Environment and Natural Resources (DENR),Other Benefits,PhilHealth Contributions,None,2274,0,2274,2452,0,2452,2185,0,2185,26
Department of Environment and Natural Resources (DENR),Other Benefits,Employees Compensation Insurance Premiums,None,254,0,254,257,0,257,232,0,232,26
Department of Environment and Natural Resources (DENR),Other Benefits,Terminal Leave,None,5911,0,5911,884,0,884,1234,0,1234,26
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Travelling Expenses,None,1061044,11150,1072194,1579933,10973,1590906,1595932,12838,1608770,26
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Training and Scholarship Expenses,None,735995,4903,740898,704950,6057,711007,729267,2985,732252,26
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Supplies and Materials Expenses,None,1422240,10623,1432863,1670252,13393,1683645,1722877,18095,1740972,26
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Utility Expenses,None,397683,336,398019,453101,1408,454509,503306,996,504302,27
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Communication Expenses,None,211613,229,211842,268830,177,269007,306553,184,306737,27
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Awards/Rewards and Prizes,None,8039,0,8039,9075,10,9085,14038,80,14118,27
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Survey Research Exploration and Development Expenses,None,424753,0,424753,522986,394,523380,551007,0,551007,27
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Demolition/Relocation and Desilting/Dredging Expenses,None,0,0,0,10000,0,10000,0,0,0,27
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Professional Services,None,2599377,44821,2644198,2875590,55117,2930707,2705169,50347,2755516,27
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,General Services,None,1331554,816,1332370,1287808,4224,1292032,1338064,4418,1342482,27
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Repairs and Maintenance,None,583385,22564,605949,787549,5016,792565,957724,4560,962284,27
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Financial Assistance/Subsidy,None,37325,0,37325,218560,0,218560,21341,0,21341,27
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Taxes Insurance Premiums and Other Fees,None,152765,893,153658,194880,2360,197240,220645,1028,221673,27
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Labor and Wages,None,181814,2821,184635,124465,3191,127656,153418,3444,156862,27
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Extraordinary and Miscellaneous Expenses,None,11899,0,11899,13023,0,13023,13621,0,13621,27
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Confidential Expenses,None,0,0,0,13950,0,13950,13950,0,13950,27
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Advertising Expenses,None,9224,159,9383,20203,65,20268,17979,160,18139,27
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Printing and Publication Expenses,None,30667,29,30696,45217,105,45322,53018,250,53268,27
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Representation Expenses,None,384648,1110,385758,336813,5206,342019,390490,4121,394611,27
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Transportation and Delivery Expenses,None,6688,95,6783,8252,282,8534,10305,304,10609,27
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Rent/Lease Expenses,None,331831,5149,336980,195468,8090,203558,172752,8045,180797,27
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Membership Dues and Contributions to Organizations,None,5481,0,5481,3869,0,3869,2539,0,2539,27
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Subscription Expenses,None,403308,4449,407757,453202,5773,458975,395006,5454,400460,27
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Donations,None,15,0,15,15,0,15,15,0,15,27
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Bank Transaction Fee,None,2,0,2,0,0,0,0,0,0,27
Department of Environment and Natural Resources (DENR),Maintenance and Other Operating Services,Other Maintenance and Operating Expenses,None,334473,1723,336196,508928,16185,525113,318108,16918,335026,27
Department of Environment and Natural Resources (DENR),Capital Outlays,Land Improvements Outlay,None,1131366,100,1131466,1128330,0,1128330,467623,0,467623,27
Department of Environment and Natural Resources (DENR),Capital Outlays,Infrastructure Outlay,None,705108,0,705108,757333,0,757333,783626,0,783626,27
Department of Environment and Natural Resources (DENR),Capital Outlays,Buildings and Other Structures,None,712872,11674,724546,634822,21000,655822,879302,22150,901452,27
Department of Environment and Natural Resources (DENR),Capital Outlays,Machinery and Equipment Outlay,None,730205,80054,810259,1085904,77293,1163197,891013,92751,983764,27
Department of Environment and Natural Resources (DENR),Capital Outlays,Transportation Equipment Outlay,None,64159,9501,73660,133660,14400,148060,260555,12000,272555,28
Department of Environment and Natural Resources (DENR),Capital Outlays,Furniture Fixtures and Books Outlay,None,26732,0,26732,31000,0,31000,50947,480,51427,28
Department of Environment and Natural Resources (DENR),Capital Outlays,Other Property Plant and Equipment Outlay,None,339,0,339,0,0,0,0,0,0,28
Department of Environment and Natural Resources (DENR),Capital Outlays,Biological Assets Outlay,None,971,0,971,0,0,0,0,0,0,28
Department of Environment and Natural Resources (DENR),Capital Outlays,Intangible Assets Outlay,None,13538,0,13538,0,0,0,110,0,110,28
Department of Finance (DOF),Salaries and other Lump-sums,Basic Salary,None,9252473,251147,9503620,8858589,232710,9091299,10309340,272031,10581371,28
Department of Finance (DOF),Other Compensation Common to All,Personnel Economic Relief Allowance,None,490685,5776,496461,499440,5448,504888,503904,6336,510240,28
Department of Finance (DOF),Other Compensation Common to All,Representation Allowance,None,72036,2720,74756,53502,2178,55680,53730,2778,56508,28
Department of Finance (DOF),Other Compensation Common to All,Transportation Allowance,None,51266,2068,53334,53352,2178,55530,53730,2778,56508,28
Department of Finance (DOF),Other Compensation Common to All,Clothing and Uniform Allowance,None,143872,1653,145525,145670,1589,147259,146972,1848,148820,28
Department of Finance (DOF),Other Compensation Common to All,Honoraria,None,1699,0,1699,0,0,0,0,0,0,28
Department of Finance (DOF),Other Compensation Common to All,Overtime Pay,None,34168,0,34168,0,0,0,0,0,0,28
Department of Finance (DOF),Other Compensation Common to All,Year End Bonus,None,771012,21692,792704,738208,19393,757601,859118,22670,881788,28
Department of Finance (DOF),Other Compensation Common to All,Mid-Year Bonus Civilian,None,751321,19569,770890,738208,19325,757533,859118,22670,881788,28
Department of Finance (DOF),Other Compensation Common to All,Cash Gift,None,102299,1258,103557,104050,1135,105185,104980,1320,106300,28
Department of Finance (DOF),Other Compensation Common to All,Productivity Enhancement Incentive,None,101508,1262,102770,104050,1135,105185,104980,1320,106300,28
Department of Finance (DOF),Other Compensation Common to All,Step Increment,None,0,0,0,22147,0,22147,25784,0,25784,28
Department of Finance (DOF),Other Compensation Common to All,Performance Based Bonus,None,339673,7639,347312,0,0,0,0,0,0,28
Department of Finance (DOF),Other Compensation Common to All,Collective Negotiation Agreement,None,40590,0,40590,0,0,0,0,0,0,28
Department of Finance (DOF),Other Compensation for Specific Groups,Magna Carta for Public Health Workers,None,1419,0,1419,1046,0,1046,1046,0,1046,29
Department of Finance (DOF),Other Compensation for Specific Groups,Quarters Allowance,None,28,0,28,7617,0,7617,7617,0,7617,29
Department of Finance (DOF),Other Compensation for Specific Groups,Overseas Allowance,None,0,0,0,5366,0,5366,5366,0,5366,29
Department of Finance (DOF),Other Compensation for Specific Groups,Longevity Pay,None,40,0,40,0,0,0,0,0,0,29
Department of Finance (DOF),Other Compensation for Specific Groups,Other Personnel Benefits,None,424682,1037855,1462537,0,0,0,0,0,0,29
Department of Finance (DOF),Other Compensation for Specific Groups,Anniversary Bonus Civilian,None,142636,0,142636,0,0,0,0,0,0,29
Department of Finance (DOF),Other Compensation for Specific Groups,Special Counsel Allowance,None,51389,0,51389,0,0,0,50746,0,50746,29
Department of Finance (DOF),Other Benefits,Retirement and Life Insurance Premiums,None,0,1127577,1127577,0,1090957,1090957,0,1269768,1269768,29
Department of Finance (DOF),Other Benefits,PAG-IBIG Contributions,None,47185,504,47689,49942,544,50486,50386,635,51021,29
Department of Finance (DOF),Other Benefits,PhilHealth Contributions,None,226850,5166,232016,219685,5014,224699,254025,7009,261034,29
Department of Finance (DOF),Other Benefits,Employees Compensation Insurance Premiums,None,24568,290,24858,24975,271,25246,25191,317,25508,29
Department of Finance (DOF),Other Benefits,Loyalty Award Civilian,None,11308,0,11308,9766,145,9911,12945,135,13080,29
Department of Finance (DOF),Other Benefits,Terminal Leave,None,418527,30224,448751,344022,0,344022,348466,10878,359344,29
Department of Finance (DOF),Maintenance and Other Operating Services,Travelling Expenses,None,431293,7433,438726,485165,16750,501915,545305,30413,575718,29
Department of Finance (DOF),Maintenance and Other Operating Services,Training and Scholarship Expenses,None,166742,10801,177543,148500,21558,170058,392509,53942,446451,29
Department of Finance (DOF),Maintenance and Other Operating Services,Supplies and Materials Expenses,None,939095,10773,949868,1053371,14319,1067690,958307,21281,979588,29
Department of Finance (DOF),Maintenance and Other Operating Services,Utility Expenses,None,578083,9820,587903,614413,12500,626913,655452,12182,667634,29
Department of Finance (DOF),Maintenance and Other Operating Services,Communication Expenses,None,314640,9938,324578,440004,30150,470154,587728,15764,603492,29
Department of Finance (DOF),Maintenance and Other Operating Services,Awards/Rewards and Prizes,None,309,0,309,3674,0,3674,3523,0,3523,29
Department of Finance (DOF),Maintenance and Other Operating Services,Professional Services,None,513737,60199,573936,529147,73672,602819,1662391,141727,1804118,29
Department of Finance (DOF),Maintenance and Other Operating Services,General Services,None,1076652,13068,1089720,1375016,70200,1445216,1453471,81756,1535227,29
Department of Finance (DOF),Maintenance and Other Operating Services,Repairs and Maintenance,None,353532,246223,599755,386791,392050,778841,454184,352482,806666,29
Department of Finance (DOF),Maintenance and Other Operating Services,Financial Assistance/Subsidy,None,0,15000000,15000000,0,0,0,0,0,0,29
Department of Finance (DOF),Maintenance and Other Operating Services,Taxes Insurance Premiums and Other Fees,None,119550,19537107,19656657,2148440,2850,2151290,154626,5350,159976,30
Department of Finance (DOF),Maintenance and Other Operating Services,Labor and Wages,None,10,0,10,0,0,0,0,0,0,30
Department of Finance (DOF),Maintenance and Other Operating Services,Interest Expenses,None,54406,0,54406,30893,0,30893,26682,0,26682,30
Department of Finance (DOF),Maintenance and Other Operating Services,Bank Charges,None,465134,0,465134,0,0,0,0,0,0,30
Department of Finance (DOF),Maintenance and Other Operating Services,Extraordinary and Miscellaneous Expenses,None,26834,1101,27935,29699,1205,30904,30091,1206,31297,30
Department of Finance (DOF),Maintenance and Other Operating Services,Confidential Expenses,None,79500,0,79500,79500,0,79500,260000,0,260000,30
Department of Finance (DOF),Maintenance and Other Operating Services,Advertising Expenses,None,12838,543,13381,8811,1000,9811,11025,244,11269,30
Department of Finance (DOF),Maintenance and Other Operating Services,Printing and Publication Expenses,None,10953,623,11576,15837,1000,16837,12321,1800,14121,30
Department of Finance (DOF),Maintenance and Other Operating Services,Representation Expenses,None,11306,2716,14022,8260,4500,12760,43111,4574,47685,30
Department of Finance (DOF),Maintenance and Other Operating Services,Transportation and Delivery Expenses,None,8685,0,8685,10837,0,10837,12228,1000,13228,30
Department of Finance (DOF),Maintenance and Other Operating Services,Rent/Lease Expenses,None,1687013,3052,1690065,1932793,13700,1946493,1405911,9124,1415035,30
Department of Finance (DOF),Maintenance and Other Operating Services,Membership Dues and Contributions to Organizations,None,1805,1767,3572,1730,2000,3730,1644,2501,4145,30
Department of Finance (DOF),Maintenance and Other Operating Services,Subscription Expenses,None,1053711,22363,1076074,1474846,195572,1670418,1659103,194145,1853248,30
Department of Finance (DOF),Maintenance and Other Operating Services,Bank Transaction Fee,None,10117,0,10117,550627,0,550627,550427,0,550427,30
Department of Finance (DOF),Maintenance and Other Operating Services,Other Maintenance and Operating Expenses,None,124501,34423,158924,116564,36984,153548,198079,22510,220589,30
Department of Finance (DOF),Capital Outlays,Land Outlay,None,24425,0,24425,0,0,0,0,0,0,30
Department of Finance (DOF),Capital Outlays,Infrastructure Outlay,None,0,0,0,0,75061,75061,0,162189,162189,30
Department of Finance (DOF),Capital Outlays,Buildings and Other Structures,None,668239,0,668239,1418533,5503,1424036,417051,0,417051,30
Department of Finance (DOF),Capital Outlays,Machinery and Equipment Outlay,None,510338,309042,819380,912014,1064486,1976500,482197,1021336,1503533,30
Department of Finance (DOF),Capital Outlays,Transportation Equipment Outlay,None,151812,0,151812,348769,9100,357869,255950,16350,272300,30
Department of Finance (DOF),Capital Outlays,Furniture Fixtures and Books Outlay,None,18031,0,18031,1845,0,1845,27997,0,27997,30
Department of Finance (DOF),Capital Outlays,Other Property Plant and Equipment Outlay,None,25966,0,25966,0,0,0,0,0,0,30
Department of Finance (DOF),Capital Outlays,Investment Outlay,None,2445518,0,2445518,2635267,0,2635267,2635267,0,2635267,30
Department of Finance (DOF),Capital Outlays,Intangible Assets Outlay,None,34986,0,34986,172554,52500,225054,566600,64621,631221,30
Department of Foreign Affairs (DFA),Salaries and other Lump-sums,Basic Salary,None,2121035,0,2121035,2012236,0,2012236,2341411,0,2341411,31
Department of Foreign Affairs (DFA),Salaries and other Lump-sums,Creation of New Positions,None,0,0,0,0,0,0,36020,0,36020,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Personnel Economic Relief Allowance,None,40169,0,40169,55056,0,55056,56712,0,56712,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Representation Allowance,None,16788,0,16788,22710,0,22710,24030,0,24030,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Transportation Allowance,None,11346,0,11346,21702,0,21702,23094,0,23094,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Clothing and Uniform Allowance,None,11970,0,11970,16058,0,16058,16541,0,16541,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Honoraria,None,3026,0,3026,5877,0,5877,5877,0,5877,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Overtime Pay,None,67709,0,67709,0,0,0,0,0,0,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Year End Bonus,None,176623,0,176623,167686,0,167686,195116,0,195116,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Mid-Year Bonus Civilian,None,175142,0,175142,167686,0,167686,195116,0,195116,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Cash Gift,None,15885,0,15885,15550,0,15550,15955,0,15955,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Productivity Enhancement Incentive,None,15806,0,15806,15550,0,15550,15955,0,15955,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Step Increment,None,0,0,0,5025,0,5025,5852,0,5852,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Performance Based Bonus,None,82376,0,82376,0,0,0,0,0,0,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Collective Negotiation Agreement,None,94071,0,94071,0,0,0,0,0,0,31
Department of Foreign Affairs (DFA),Other Compensation for Specific Groups,Magna Carta for Public Health Workers,None,433,0,433,0,0,0,0,0,0,31
Department of Foreign Affairs (DFA),Other Compensation for Specific Groups,Overseas Allowance,None,6700882,0,6700882,6708629,0,6708629,8431883,0,8431883,31
Department of Foreign Affairs (DFA),Other Compensation for Specific Groups,Night Shift Differential Pay,None,398,0,398,0,0,0,0,0,0,31
Department of Foreign Affairs (DFA),Other Compensation for Specific Groups,Other Personnel Benefits,None,90354,0,90354,0,0,0,0,0,0,31
Department of Foreign Affairs (DFA),Other Compensation for Specific Groups,Anniversary Bonus Civilian,None,0,0,0,0,0,0,366,0,366,31
Department of Foreign Affairs (DFA),Other Benefits,Retirement and Life Insurance Premiums,None,0,244628,244628,0,241468,241468,0,280971,280971,32
Department of Foreign Affairs (DFA),Other Benefits,PAG-IBIG Contributions,None,7243,0,7243,7468,0,7468,7662,0,7662,32
Department of Foreign Affairs (DFA),Other Benefits,PhilHealth Contributions,None,45883,0,45883,44297,0,44297,49262,0,49262,32
Department of Foreign Affairs (DFA),Other Benefits,Employees Compensation Insurance Premiums,None,3770,0,3770,3732,0,3732,3832,0,3832,32
Department of Foreign Affairs (DFA),Other Benefits,Terminal Leave,None,232919,0,232919,326687,0,326687,287219,0,287219,32
Department of Foreign Affairs (DFA),Other Benefits,Loyalty Award Civilian,None,130,0,130,140,0,140,40,0,40,32
Department of Foreign Affairs (DFA),Maintenance and Other Operating Services,Travelling Expenses,None,709077,0,709077,1318800,0,1318800,1555521,0,1555521,32
Department of Foreign Affairs (DFA),Maintenance and Other Operating Services,Training and Scholarship Expenses,None,108372,0,108372,119177,0,119177,251319,0,251319,32
Department of Foreign Affairs (DFA),Maintenance and Other Operating Services,Supplies and Materials Expenses,None,2429613,0,2429613,4853340,0,4853340,1129825,0,1129825,32
Department of Foreign Affairs (DFA),Maintenance and Other Operating Services,Utility Expenses,None,198802,0,198802,203480,0,203480,224089,0,224089,32
Department of Foreign Affairs (DFA),Maintenance and Other Operating Services,Communication Expenses,None,188276,0,188276,310875,0,310875,325796,0,325796,32
