Dept_Name,Expense_Class,Object_Expenditure,Approp_Type,2024_Actual,2025_Program,2026_GAA,Page_No
Department of Foreign Affairs (DFA),Other Compensation Common to All,Representation Allowance,None,16788,22710,24030,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Transportation Allowance,None,11346,21702,23094,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Clothing and Uniform Allowance,None,11970,16058,16541,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Honoraria,None,3026,5877,5877,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Overtime Pay,None,67709,0,0,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Year End Bonus,None,176623,167686,195116,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Mid-Year Bonus Civilian,None,175142,167686,195116,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Cash Gift,None,15885,15550,15955,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Productivity Enhancement Incentive,None,15806,15550,15955,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Step Increment,None,0,5025,5852,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Performance Based Bonus,None,82376,0,0,31
Department of Foreign Affairs (DFA),Other Compensation Common to All,Collective Negotiation Agreement,None,94071,0,0,31
Department of Foreign Affairs (DFA),Other Compensation for Specific Groups,Magna Carta for Public Health Workers,None,433,0,0,31
Department of Foreign Affairs (DFA),Other Compensation for Specific Groups,Overseas Allowance,None,6700882,6708629,8431883,31
