Dept_Name,Agency_Name,Program_Category,2024_Actual,2025_Program,2026_GAA,Page_No
Department of National Defense (DND),None,Locally_Funded_Projects,210504360,228024409,253485071,1
Department of National Defense (DND),None,Foreign_Assisted_Projects,39177606,4014485,11340737,1
Department of National Defense (DND),None,Total,353411762,275973823,309996299,1
Department of Public Works and Highways (DPWH),None,General_Overhead,38182146,24761450,47521566,1
Department of Public Works and Highways (DPWH),None,Locally_Funded_Projects,1091297263,1023285908,458074281,1
Department of Public Works and Highways (DPWH),None,Foreign_Assisted_Projects,65379810,17752950,7606388,1
Department of Public Works and Highways (DPWH),None,Other_Projects,44853962,23000000,17696626,1
Department of Public Works and Highways (DPWH),None,Total,1239713181,1088800308,530898861,1
Department of Science and Technology (DOST),None,General_Overhead,2704548,2572820,3042537,1
Department of Science and Technology (DOST),None,Locally_Funded_Projects,22925417,23662588,25039399,1
Department of Science and Technology (DOST),None,Foreign_Assisted_Projects,1899540,2759265,4042431,1
Department of Science and Technology (DOST),None,Total,27529505,28994673,32124367,1
Department of Social Welfare and Development (DSWD),None,General_Overhead,5722245,4508290,4476465,1
Department of Social Welfare and Development (DSWD),None,Locally_Funded_Projects,237343945,179192107,258684036,1
Department of Social Welfare and Development (DSWD),None,Foreign_Assisted_Projects,33816786,32813132,7028900,1
Department of Social Welfare and Development (DSWD),None,Other_Projects,4644916,1023488,0,1
Department of Social Welfare and Development (DSWD),None,Total,281527892,217537017,270189401,1
Department of Tourism (DOT),None,General_Overhead,1144141,1140705,1252434,1
Department of Tourism (DOT),None,Locally_Funded_Projects,1486541,2656904,2897692,1
Department of Tourism (DOT),None,Foreign_Assisted_Projects,679002,100000,75000,1
Department of Tourism (DOT),None,Total,3309684,3897609,4225126,1
Department of Trade and Industry (DTI),None,General_Overhead,2637420,3139646,3296412,1
Department of Trade and Industry (DTI),None,Locally_Funded_Projects,3843600,4291002,5188497,1
Department of Trade and Industry (DTI),None,Foreign_Assisted_Projects,2639263,1772256,1180811,1
Department of Trade and Industry (DTI),None,Other_Projects,565277,496190,496190,1
Department of Trade and Industry (DTI),None,Total,9685560,9699094,10161910,1
Department of Transportation (DOTr),None,General_Overhead,38860199,25521470,22633514,1
Department of Transportation (DOTr),None,Locally_Funded_Projects,20535447,24042247,38086052,1
Department of Transportation (DOTr),None,Foreign_Assisted_Projects,23247902,17771487,13052287,1
Department of Transportation (DOTr),None,Other_Projects,103097371,20662894,64074535,1
Department of Transportation (DOTr),None,Total,185740919,87998098,137846388,1
Department of Economy Planning and Development (DEPDev),None,General_Overhead,3358358,4350515,4228349,1
Department of Economy Planning and Development (DEPDev),None,Locally_Funded_Projects,3667980,3965128,4346900,1
Department of Economy Planning and Development (DEPDev),None,Foreign_Assisted_Projects,8399427,4319349,4529731,1
Department of Economy Planning and Development (DEPDev),None,Other_Projects,0,0,846150,1
Department of Economy Planning and Development (DEPDev),None,Total,15425765,12634992,13951130,1
Presidential Communications Office (PCO),None,General_Overhead,821950,730234,763611,1
Presidential Communications Office (PCO),None,Locally_Funded_Projects,1604856,1438700,1786337,1
Presidential Communications Office (PCO),None,Foreign_Assisted_Projects,45757,0,0,1
Presidential Communications Office (PCO),None,Total,2472563,2168934,2549948,1
