Dept_Name,Agency_Name,Expense_Class,2024_Actual,2025_Program,2026_GAA,Page_No
Congress of the Philippines (CONGRESS),None,Personnel Services,10108605,13065289,14513909,1
Congress of the Philippines (CONGRESS),None,Maintenance and Other Operating Expenses,25271977,28762698,23890348,1
Congress of the Philippines (CONGRESS),None,Capital Outlays,9680916,8988386,1026013,1
Office of the President (OP),None,Personnel Services,1503807,1334205,1820373,1
Office of the President (OP),None,Maintenance and Other Operating Expenses,6788145,13004311,25563777,1
Office of the President (OP),None,Capital Outlays,1426858,1567685,720503,1
Office of the Vice-President (OVP),None,Personnel Services,196999,188514,212538,1
Office of the Vice-President (OVP),None,Maintenance and Other Operating Expenses,1559579,499232,673753,1
Office of the Vice-President (OVP),None,Capital Outlays,26709,56400,16604,1
Department of Agrarian Reform (DAR),None,Personnel Services,6726965,5822653,6711396,1
Department of Agrarian Reform (DAR),None,Maintenance and Other Operating Expenses,11121937,5048101,10576546,1
Department of Agrarian Reform (DAR),None,Capital Outlays,2647529,230395,872713,1
Department of Agriculture (DA),None,Personnel Services,7489189,6550389,7640074,1
Department of Agriculture (DA),None,Maintenance and Other Operating Expenses,73822611,60027369,103325385,1
Department of Agriculture (DA),None,Capital Outlays,30150528,58864845,75547975,1
Department of Budget and Management (DBM),None,Personnel Services,1330302,1134759,1400696,1
Department of Budget and Management (DBM),None,Maintenance and Other Operating Expenses,1015305,1848723,1968893,1
Department of Budget and Management (DBM),None,Capital Outlays,197520,208353,199545,1
Department of Education (DepEd),None,Personnel Services,612281356,589645545,706329481,1
Department of Education (DepEd),None,Maintenance and Other Operating Expenses,137275643,157742574,209285307,1
Department of Education (DepEd),None,Capital Outlays,10422313,34782915,99694889,1
State Universities and Colleges (SUCs),None,Personnel Services,70682950,70238541,83125015,1
State Universities and Colleges (SUCs),None,Maintenance and Other Operating Expenses,37102219,39605181,45188768,1
State Universities and Colleges (SUCs),None,Capital Outlays,25635528,17383782,15755749,1
Department of Energy (DOE),None,Personnel Services,874313,761272,910255,1
Department of Energy (DOE),None,Maintenance and Other Operating Expenses,1189181,1633033,2572465,1
Department of Energy (DOE),None,Capital Outlays,589902,690899,951440,1
Department of Environment and Natural Resources (DENR),None,Personnel Services,12591313,10963544,12466368,1
Department of Environment and Natural Resources (DENR),None,Maintenance and Other Operating Expenses,10777693,12444945,12341351,1
Department of Environment and Natural Resources (DENR),None,Capital Outlays,3486619,3883742,3460557,1
Department of Finance (DOF),None,Personnel Services,16119228,13459538,15513187,1
Department of Finance (DOF),None,Maintenance and Other Operating Expenses,42492856,12304035,12003437,1
Department of Finance (DOF),None,Capital Outlays,4188357,6695632,5649558,1
Department of Finance (DOF),None,Financial Expenses,519540,30893,26682,1
Department of Foreign Affairs (DFA),None,Personnel Services,10173824,9877463,12050526,1
Department of Foreign Affairs (DFA),None,Maintenance and Other Operating Expenses,9983922,15614916,13723630,1
Department of Foreign Affairs (DFA),None,Capital Outlays,955634,2360420,3132875,1
Department of Health (DOH),None,Personnel Services,94894881,86783224,108879316,1
Department of Health (DOH),None,Maintenance and Other Operating Expenses,159482111,124997520,158337595,1
Department of Health (DOH),None,Capital Outlays,23518304,41580025,37369547,1
