Dept_Name,Agency_Name,Expense_Class,2024_Actual,2025_Program,2026_GAA,Page_No
Department of Human Settlements and Urban Development (DHSUD),None,Personnel Services,1254062,1076417,1265523,1
Department of Human Settlements and Urban Development (DHSUD),None,Maintenance and Other Operating Expenses,1033513,2187623,695975,1
Department of Human Settlements and Urban Development (DHSUD),None,Capital Outlays,297606,485006,53670,1
Department of Information and Communications Technology (DICT),None,Personnel Services,1574143,1354170,1595337,1
Department of Information and Communications Technology (DICT),None,Maintenance and Other Operating Expenses,11161672,10945464,11245717,1
Department of Information and Communications Technology (DICT),None,Capital Outlays,2074448,2798127,5376623,1
Department of the Interior and Local Government (DILG),None,Personnel Services,298753173,228654874,257006425,1
Department of the Interior and Local Government (DILG),None,Maintenance and Other Operating Expenses,33072342,39250720,41298582,1
Department of the Interior and Local Government (DILG),None,Capital Outlays,9946506,14058856,12167124,1
Department of Justice (DOJ),None,Personnel Services,28110787,24728267,28599166,1
Department of Justice (DOJ),None,Maintenance and Other Operating Expenses,6367150,10794504,11992177,1
Department of Justice (DOJ),None,Capital Outlays,3615050,6665601,4933547,1
Department of Labor and Employment (DOLE),None,Personnel Services,9215892,7912918,9059272,1
Department of Labor and Employment (DOLE),None,Maintenance and Other Operating Expenses,53914651,40188456,51844310,1
Department of Labor and Employment (DOLE),None,Capital Outlays,1286136,3652720,907117,1
Department of Migrant Workers (DMW),None,Personnel Services,2584030,2448456,3581672,1
Department of Migrant Workers (DMW),None,Maintenance and Other Operating Expenses,5431399,5942539,7537390,1
Department of Migrant Workers (DMW),None,Capital Outlays,2480693,358364,626165,1
Department of Migrant Workers (DMW),None,Financial Expenses,726,0,0,1
Department of National Defense (DND),None,Personnel Services,222243249,163971388,167745955,1
Department of National Defense (DND),None,Maintenance and Other Operating Expenses,77370419,79392899,95472519,1
Department of National Defense (DND),None,Capital Outlays,53798086,32609536,46777825,1
Department of National Defense (DND),None,Financial Expenses,8,0,0,1
Department of Public Works and Highways (DPWH),None,Personnel Services,14901379,13181881,15562458,1
Department of Public Works and Highways (DPWH),None,Maintenance and Other Operating Expenses,16122017,6929387,18408677,1
Department of Public Works and Highways (DPWH),None,Capital Outlays,1208689785,1068689040,496927726,1
Department of Science and Technology (DOST),None,Personnel Services,5414754,4971500,5948766,1
Department of Science and Technology (DOST),None,Maintenance and Other Operating Expenses,19918966,20793556,22252382,1
Department of Science and Technology (DOST),None,Capital Outlays,2195785,3229617,3923219,1
Department of Social Welfare and Development (DSWD),None,Personnel Services,14288459,11270794,16926262,1
Department of Social Welfare and Development (DSWD),None,Maintenance and Other Operating Expenses,265909526,205534246,251088376,1
Department of Social Welfare and Development (DSWD),None,Capital Outlays,1329907,731977,2174763,1
Department of Tourism (DOT),None,Personnel Services,814576,764466,899766,1
Department of Tourism (DOT),None,Maintenance and Other Operating Expenses,2021594,2787673,3076467,1
Department of Tourism (DOT),None,Capital Outlays,473465,345470,248893,1
Department of Tourism (DOT),None,Financial Expenses,49,0,0,1
Department of Trade and Industry (DTI),None,Personnel Services,3526102,3109572,3690507,1
Department of Trade and Industry (DTI),None,Maintenance and Other Operating Expenses,5590572,5662324,5455839,1
Department of Trade and Industry (DTI),None,Capital Outlays,568886,927198,1015564,1
Department of Transportation (DOTr),None,Personnel Services,27928900,27398358,31972463,1
Department of Transportation (DOTr),None,Maintenance and Other Operating Expenses,32187380,19050899,21077197,1
Department of Transportation (DOTr),None,Capital Outlays,125616799,41541773,84789660,1
Department of Transportation (DOTr),None,Financial Expenses,7840,7068,7068,1
Department of Economy Planning and Development (DEPDev),None,Personnel Services,4123349,3503126,4058392,1
Department of Economy Planning and Development (DEPDev),None,Maintenance and Other Operating Expenses,10529144,7489068,8876179,1
Department of Economy Planning and Development (DEPDev),None,Capital Outlays,773272,1642798,1016559,1
Presidential Communications Office (PCO),None,Personnel Services,1139230,1035735,1132959,1
Presidential Communications Office (PCO),None,Maintenance and Other Operating Expenses,1097791,1029581,1284553,1
Presidential Communications Office (PCO),None,Capital Outlays,235542,103618,132436,1
Other Executive Offices (OEOs),None,Personnel Services,7286282,7378457,8400540,1
Other Executive Offices (OEOs),None,Maintenance and Other Operating Expenses,44033933,50714404,65244230,1
Other Executive Offices (OEOs),None,Capital Outlays,7065617,7177166,8746433,1
The Judiciary (JUD),None,Personnel Services,45275427,41867116,46437687,1
The Judiciary (JUD),None,Maintenance and Other Operating Expenses,10193608,14341319,17042261,1
The Judiciary (JUD),None,Capital Outlays,5592600,7804465,7130921,1
Civil Service Commission (CSC),None,Personnel Services,1704160,1648147,1838589,1
Civil Service Commission (CSC),None,Maintenance and Other Operating Expenses,566227,748593,845384,1
Civil Service Commission (CSC),None,Capital Outlays,185263,486489,317239,1
Commission on Audit (COA),None,Personnel Services,13394901,12551130,14236459,1
Commission on Audit (COA),None,Maintenance and Other Operating Expenses,921037,954447,724927,1
Commission on Audit (COA),None,Capital Outlays,870518,111763,649517,1
Commission on Elections (COMELEC),None,Personnel Services,5438379,6277802,4905258,1
Commission on Elections (COMELEC),None,Maintenance and Other Operating Expenses,25050993,25033844,11688767,1
Commission on Elections (COMELEC),None,Capital Outlays,403556,4191025,3602288,1
Office of the Ombudsman (OMB),None,Personnel Services,3156945,3289235,3728395,1
Office of the Ombudsman (OMB),None,Maintenance and Other Operating Expenses,1922270,2067790,2396689,1
Office of the Ombudsman (OMB),None,Capital Outlays,663533,515129,452407,1
Commission on Human Rights (CHR),None,Personnel Services,670030,576014,696234,1
Commission on Human Rights (CHR),None,Maintenance and Other Operating Expenses,357617,464327,560935,1
Commission on Human Rights (CHR),None,Capital Outlays,45103,155931,155075,1
Budgetary Support to Government Corporations (BSGC),None,Personnel Services,371302,371302,371302,1
Budgetary Support to Government Corporations (BSGC),None,Maintenance and Other Operating Expenses,240675213,135160891,271670880,1
Budgetary Support to Government Corporations (BSGC),None,Capital Outlays,11612423,30474587,31383408,1
Allocations to Local Government Units (ALGU),None,Personnel Services,507219,0,78139,1
Allocations to Local Government Units (ALGU),None,Maintenance and Other Operating Expenses,1011204386,688311188733308,1389037426,1
Allocations to Local Government Units (ALGU),None,Capital Outlays,3306730,5888477,3753606,1
National Disaster Risk Reduction and Management Fund ( Calamity Fund ),None,Maintenance and Other Operating Expenses,0,11685250,27355000,2
National Disaster Risk Reduction and Management Fund ( Calamity Fund ),None,Capital Outlays,0,9314750,12467355,2
Contingent Fund,None,Maintenance and Other Operating Expenses,0,8000000,8000000,2
Contingent Fund,None,Capital Outlays,0,5000000,5000000,2
Miscellaneous Personnel Benefits Fund,None,Personnel Services,0,108927872,76847627,2
Miscellaneous Personnel Benefits Fund,None,Maintenance and Other Operating Expenses,0,200000,200000,2
Pension and Gratuity Fund,None,Personnel Services,0,144696104,165495100,2
Pension and Gratuity Fund,None,Maintenance and Other Operating Expenses,0,28071,23661,2
Revised AFP Modernization Program,None,Capital Outlays,0,35000000,40000000,2
Customs duties and taxes including tax expenditures,None,Maintenance and Other Operating Expenses,0,14500000,14500000,2
Debt Interest Payments,None,Financial Expenses,763313000,848030688,950000000,2
